Date,Stock,Bonds,Golds
2019/1/2,3399.4015,190.9531,1286.5
2019/1/3,3387.1327,191.3041,1296.2
2019/1/4,3470.2829,191.4781,1286.2
2019/1/7,3515.1686,191.5996,1290.3
2019/1/8,3508.5228,191.8306,1286.1
2019/1/9,3531.769,191.9542,1294.7
2019/1/10,3524.8784,192.0359,1287.1
2019/1/11,3551.3318,192.0041,1287.9
2019/1/14,3526.0851,192.0087,1291.8
2019/1/15,3581.5023,191.9107,1289.4
2019/1/16,3578.3367,192.0171,1293.5
2019/1/17,3552.9154,192.2071,1291.6
2019/1/18,3598.429,192.2247,1281.3
2019/1/21,3618.4726,192.2297,1279.6
2019/1/22,3573.4685,192.1966,1284.7
2019/1/23,3575.2888,192.1872,1281.9
2019/1/24,3594.0818,192.1806,1280
2019/1/25,3598.6022,192.0775,1302.5
2019/1/28,3587.4503,192.021,1302.7
2019/1/29,3565.3808,192.0891,1316.7
2019/1/30,3527.5933,192.2047,1325
2019/1/31,3523.6188,192.3278,1325.7
2019/2/1,3596.0221,192.406,1322
2019/2/4,,,1316.5
2019/2/5,,,1319.3
2019/2/6,,,1310.5
2019/2/7,,,1313.8
2019/2/8,,,1318.2
2019/2/11,3676.8847,192.7262,1311.6
2019/2/12,3712.6271,192.8145,1314.2
2019/2/13,3782.0055,192.8679,1309.3
2019/2/14,3793.4962,192.891,1315.7
2019/2/15,3752.4651,192.9339,1325
2019/2/18,3877.1867,192.8977,1329.7
2019/2/19,3880.0907,192.8132,1344.1
2019/2/20,3890.4756,192.8516,1341.2
2019/2/21,3880.6117,192.8567,1326
2019/2/22,3968.8796,192.8335,1330.7
2019/2/25,4190.9416,192.7417,1329.7
2019/2/26,4163.0341,192.5168,1331
2019/2/27,4153.4927,192.4222,1321.7
2019/2/28,4153.511,192.4744,1314.7
2019/3/1,4215.7026,192.3619,1294.5
2019/3/4,4283.1606,192.2931,1287.7
2019/3/5,4355.3339,192.2203,1288.6
2019/3/6,4418.6128,192.1758,1287.1
2019/3/7,4429.1006,192.2905,1286.1
2019/3/8,4249.7323,192.5314,1298.6
2019/3/11,4378.6061,192.6351,1293.3
2019/3/12,4439.9474,192.6011,1301.8
2019/3/13,4371.1871,192.5688,1309.5
2019/3/14,4293.6034,192.5525,1295.8
2019/3/15,4351.4316,192.4975,1302.3
2019/3/18,4466.5464,192.5323,1303.5
2019/3/19,4465.179,192.5249,1306.3
2019/3/20,4463.5506,192.5285,1312.5
2019/3/21,4491.1383,192.6116,1309
2019/3/22,4499.5413,192.6944,1313.4
2019/3/25,4424.2887,192.8723,1321.6
2019/3/26,4338.5646,193.0129,1315.2
2019/3/27,4379.4898,193.0446,1308.5
2019/3/28,4340.1599,193.1259,1289.6
2019/3/29,4487.7157,193.1958,1297
2019/4/1,4630.3682,193.0697,1292.3
2019/4/2,4640.3117,192.9369,1296.7
2019/4/3,4693.0868,192.6993,1294.3
2019/4/4,4727.6658,192.4912,1296.4
2019/4/5,,,1295.9
2019/4/8,4715.0828,192.4846,1301.6
2019/4/9,4732.1195,192.3912,1308.2
2019/4/10,4735.9196,192.1852,1312
2019/4/11,4639.4026,192.2158,1295.8
2019/4/12,4632.0095,192.2632,1293.5
2019/4/15,4603.3171,191.952,1290.8
2019/4/16,4713.1506,191.6443,1279.5
2019/4/17,4733.7199,191.5626,1276.2
2019/4/18,4711.3226,191.6265,1277.9
2019/4/19,4756.5415,191.7746,
2019/4/22,4674.1452,191.7602,1276.8
2019/4/23,4630.5811,191.6548,1274.3
2019/4/24,4661.452,191.5688,1277.9
2019/4/25,4518.3578,191.5879,1279
2019/4/26,4460.6782,191.6544,1288.4
2019/4/29,4393.831,191.6362,1281.7
2019/4/30,4422.4888,191.7562,1285.4
2019/5/1,,,1278.3
2019/5/2,,,1271.7
2019/5/3,,,1280.2
2019/5/6,4127.6469,192.1788,1282.3
2019/5/7,4175.3955,192.2962,1285.7
2019/5/8,4135.5531,192.4074,1281.7
2019/5/9,4076.6312,192.5737,1284.8
2019/5/10,4226.0236,192.6682,1286.8
2019/5/13,4173.6024,192.8602,1300.9
2019/5/14,4144.9588,192.9521,1297.5
2019/5/15,4238.4613,192.9564,1297.2
2019/5/16,4261.6826,193.0325,1287
2019/5/17,4134.6304,193.0911,1277.4
2019/5/20,4108.3489,193.1559,1277.5
2019/5/21,4173.0768,193.1061,1274.5
2019/5/22,4152.6457,193.0005,1272.9
2019/5/23,4068.8053,193.044,1283
2019/5/24,4056.5371,193.1057,1284.3
2019/5/27,4136.6456,193.0293,
2019/5/28,4159.7503,192.9555,1278.7
2019/5/29,4159.968,193.1359,1284.5
2019/5/30,4133.9897,193.2397,1293.2
2019/5/31,4123.5126,193.3205,1310.2
2019/6/3,4097.7721,193.4243,1330.2
2019/6/4,4048.2739,193.5576,1330.2
2019/6/5,4046.6552,193.6755,1334.7
2019/6/6,3980.9375,193.7487,1339.5
2019/6/7,,,1344.9
2019/6/10,4029.5323,193.7985,1331.8
2019/6/11,4163.9471,193.667,1330.7
2019/6/12,4137.1965,193.6724,1337.2
2019/6/13,4144.8156,193.7229,1346
2019/6/14,4086.1272,193.7931,1345.3
2019/6/17,4086.0354,193.9415,1343.1
2019/6/18,4091.9298,193.9695,1350.1
2019/6/19,4146.928,194.0099,1364.3
2019/6/20,4246.828,194.095,1392.3
2019/6/21,4282.0683,194.1598,1403
2019/6/24,4286.1366,194.2219,1423.3
2019/6/25,4242.4985,194.2543,1426.7
2019/6/26,4235.8008,194.2816,1412.4
2019/6/27,4275.7964,194.3189,1412.8
2019/6/28,4244.0837,194.4199,1412.5
2019/7/1,4367.708,194.5186,1387
2019/7/2,4366.2241,194.7272,1421.5
2019/7/3,4320.9568,194.9571,1421.5
2019/7/4,4300.9614,195.0931,
2019/7/5,4319.9519,195.1297,1401.2
2019/7/8,4198.2378,195.1187,1397.6
2019/7/9,4198.8071,195.0989,1399.6
2019/7/10,4180.3038,195.1533,1421
2019/7/11,4178.8775,195.2173,1405.4
2019/7/12,4198.0805,195.2405,1417.8
2019/7/15,4228.4917,195.2981,1415.7
2019/7/16,4222.117,195.3,1407.6
2019/7/17,4221.5603,195.3085,1428.2
2019/7/18,4165.0736,195.3611,1447.4
2019/7/19,4199.3162,195.3811,1426.5
2019/7/22,4133.4469,195.4503,1425.5
2019/7/23,4159.7263,195.5499,1418.1
2019/7/24,4199.8162,195.5404,1426.2
2019/7/25,4224.5299,195.554,1414.4
2019/7/26,4231.3895,195.5941,1418.5
2019/7/29,4228.4597,195.6149,1433.4
2019/7/30,4247.247,195.5923,1437.3
2019/7/31,4214.7186,195.7071,1420.1
2019/8/1,4186.1292,195.8108,1451.1
2019/8/2,4124.285,196.0668,1446.8
2019/8/5,4059.7521,196.3659,1469.7
2019/8/6,3988.3511,196.5239,1480.5
2019/8/7,3972.8097,196.585,1507.1
2019/8/8,4013.8661,196.6482,1506.4
2019/8/9,3971.5278,196.7892,1501.9
2019/8/12,4042.2314,196.8572,1516.1
2019/8/13,4012.5578,196.9731,1506.2
2019/8/14,4033.8761,197.0811,1521.3
2019/8/15,4049.17,197.1724,1527.9
2019/8/16,4068.2487,197.186,1517.8
2019/8/19,4174.705,197.2404,1500
2019/8/20,4175.6129,197.2455,1511.4
2019/8/21,4174.076,197.1987,1506.5
2019/8/22,4187.4966,197.1369,1501.8
2019/8/23,4201.7242,197.1233,1530.5
2019/8/26,4156.7432,197.2408,1530.5
2019/8/27,4221.4345,197.2313,1546
2019/8/28,4210.1121,197.2136,1542.4
2019/8/29,4204.1281,197.2581,1529.7
2019/8/30,4184.7843,197.1586,1523
2019/9/2,4261.5693,197.1438,1531.9
2019/9/3,4278.9177,197.0881,1550
2019/9/4,4314.0952,197.1252,1555.4
2019/9/5,4355.5534,197.3431,1520.6
2019/9/6,4376.6621,197.4999,1508.6
2019/9/9,4436.6134,197.5803,1500.3
2019/9/10,4429.0868,197.5527,1487
2019/9/11,4398.0238,197.5141,1498.3
2019/9/12,4433.9333,197.4383,1500.2
2019/9/13,,,1489.8
2019/9/16,4433.1228,197.4451,1499.2
2019/9/17,4346.2085,197.4633,1502.4
2019/9/18,4358.2475,197.3968,1494.9
2019/9/19,4388.8838,197.3778,1499.3
2019/9/20,4398.2368,197.3521,1516.9
2019/9/23,4354.3979,197.3979,1521.9
2019/9/24,4366.9475,197.3844,1531.3
2019/9/25,4311.006,197.3602,1504
2019/9/26,4236.9953,197.3282,1503.8
2019/9/27,4259.7785,197.2697,1495.9
2019/9/30,4214.3958,197.3456,1478.3
2019/10/1,,,1485.2
2019/10/2,,,1506.9
2019/10/3,,,1511.1
2019/10/4,,,1510.3
2019/10/7,,,1498.8
2019/10/8,4229.6871,197.5528,1510.9
2019/10/9,4250.4762,197.6288,1510.8
2019/10/10,4296.6821,197.6033,1498.7
2019/10/11,4322.1604,197.5421,1493.5
2019/10/14,4376.8539,197.4822,1497.2
2019/10/15,4340.1385,197.4591,1484.7
2019/10/16,4321.7002,197.4618,1494
2019/10/17,4320.6716,197.4977,1495.4
2019/10/18,4261.8293,197.4779,1493.4
2019/10/21,4260.578,197.437,1487.7
2019/10/22,4292.534,197.3392,1490.6
2019/10/23,4263.3019,197.3391,1495.1
2019/10/24,4259.9419,197.3338,1506.7
2019/10/25,4289.7415,197.3279,1507.1
2019/10/28,4346.5578,197.2033,1494.8
2019/10/29,4309.4696,197.0798,1489.9
2019/10/30,4275.8767,196.9048,1498
2019/10/31,4253.9246,196.8455,1515.4
2019/11/1,4311.0529,196.8947,1516.7
2019/11/4,4336.1881,196.9383,1512
2019/11/5,4358.0046,197.0318,1484.9
2019/11/6,4328.7543,197.181,1492
2019/11/7,4346.0541,197.2681,1469.4
2019/11/8,4329.0099,197.2482,1459.8
2019/11/11,4239.607,197.3623,1456.7
2019/11/12,4244.0504,197.4731,1457
2019/11/13,4237.7753,197.5258,1464.3
2019/11/14,4254.6629,197.5727,1472
2019/11/15,4216.2924,197.6514,1468.7
2019/11/18,4246.9159,197.926,1471.9
2019/11/19,4304.1175,198.1245,1472.6
2019/11/20,4269.601,198.2675,1472
2019/11/21,4257.1086,198.4057,1464.4
2019/11/22,4212.9317,198.4577,1461.5
2019/11/25,4222.5308,198.4533,1455.1
2019/11/26,4226.8877,198.4308,1461.2
2019/11/27,4219.4443,198.4748,1453.5
2019/11/28,4205.7816,198.528,
2019/11/29,4186.1794,198.5844,1470.4
2019/12/2,4194.2022,198.5759,1468.2
2019/12/3,4213.9919,198.5638,1483.5
2019/12/4,4214.5169,198.6329,1480
2019/12/5,4252.4572,198.6892,1481.1
2019/12/6,4280.5132,198.6872,1464.5
2019/12/9,4282.4584,198.7329,1465.9
2019/12/10,4296.0324,198.7723,1468.7
2019/12/11,4290.4536,198.823,1479.3
2019/12/12,4280.6118,198.9188,1474.1
2019/12/13,4350.4704,198.9216,1480.3
2019/12/16,4396.9993,198.9521,1480.4
2019/12/17,4454.7921,198.9276,1480.5
2019/12/18,4450.0019,198.9026,1479.4
2019/12/19,4454.7795,198.9543,1482.7
2019/12/20,4426.5828,199.1065,1482.4
2019/12/23,4353.553,199.2909,1489.8
2019/12/24,4402.063,199.4444,1504.4
2019/12/25,4410.823,199.5658,
2019/12/26,4446.553,199.7127,1516
2019/12/27,4428.6846,199.7998,1515.6
2019/12/30,4480.3495,199.8571,1518.2
2019/12/31,4500.1258,199.9218,1520
